"Guid","CurrencyIsoCode","Name","SBQQ__Description__c"
0664f5d4-1cee-41c4-851d-9a603e02afb8,USD,Complete Threat Solution for 200 users over 3 years,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
07bfdd35-f59e-403a-9db5-0ede44adae34,USD,My Fav,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
1117460d-d69a-4fdd-a17e-7296beb2682c,USD,Best Bundle Ever,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
144bc806-130a-46b4-a86b-5c22d434835c,USD,200 Line Group,Group1
17c5b285-97d8-423d-8ed4-a61abb1090de,USD,April Bundle,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
2ecc3b2a-c253-4c77-92c8-f394c8fb5162,USD,Baseline,Group1
34b21249-e717-47b2-9d44-6cfb7642b227,USD,My Go To Minimum,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
3a8251f3-02a1-4988-9373-2e1028bfc55a,USD,Evergreen,"Enterprise Security Manager is a security information and event management (SIEM) solution that delivers actionable intelligence and integrations to prioritize, investigate, and respond to threats. ***Evergreen - Billed Annually***"
4a644d5d-c2c5-4b94-8f55-dd28986f1e76,USD,Dave's Best Bundle 90% of the time,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
4ddfc1b4-6c16-4554-afb1-603e4f55c833,USD,Complete Threat Solution - Enterprise Deal Config,"Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.

This Configuration is Suitable for Large Enterprises."
502d2948-4209-4a94-a1af-1986e78b0d24,USD,Starter Package,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
54d0a2bf-212e-4aaf-940b-b7d2a7522611,USD,This is the Gold level,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
5eea9dbf-93e1-4292-bf4e-c7c707f07462,USD,Eric's fav,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
65dfeb0a-f5eb-4c12-a643-8ac192863cae,USD,My Pre configured Complete Solution,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
6e14bbe4-75c9-455e-b02f-4e49913a8215,USD,Vance's Favorite SMB Solution,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
6fc4c936-d0b5-42d9-8f00-03a4cd532fd8,USD,2019 - Security Threat Solution,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
703662f6-2adf-4d42-bf4f-66ce43a7e234,USD,John's Favorite Bundle,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
719cfc14-3584-40b3-9aff-ea114544d204,USD,Complete Threat Solution - Advanced Order Management,Complete Threat Platform Solution configuration for multi-location ordering.
7c44b419-724d-4614-98b9-c81fd9b63ea8,USD,Offer 1,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
7c54edde-7160-4d5d-8ad0-5e3efc7dbf80,USD,Complete Threat Solution - Default Config,START HERE for Build Your Own: Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
7cda99cc-e9ac-4b71-acc5-854d87e5349f,USD,My Solution,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
7ffd18c9-72bb-45e4-ac8a-173b2b470e7d,USD,Beebe Favorite,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
84140de3-6f4a-4ef4-8159-6be3ca721f6e,USD,Fav Complete Threat config,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
8832b9f7-69e7-4c51-a56a-cc8ee8cbe3d7,USD,My favorite,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
8c707573-06cf-46f5-9804-c89561bbf0c6,USD,C5 package for 1000 users,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
9a1df3f2-faa2-4d74-877f-20db8c342f72,USD,Phase 1,Group1
a14cb15f-9e5a-4150-bb88-e14f9e768580,USD,Vance's Favorite Things,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
a223b174-c2c6-4339-8e9c-a5e6fef85bf4,USD,Full Enterprise Bundle with Partner SOW,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
a698472a-bb0d-4302-8ab8-d41b61220618,USD,Services & Consulting Package,This is a Package of Services & Consulting Solutions Recommended by Marketing and Approved by Finance.
a8103536-f948-4f2d-a0a7-8d8c6a361ebf,USD,my favorite,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
b249e176-3ac7-4486-a1f7-e92a164cbf3f,USD,My Midpoint Bundle with Upsell,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
b2921d2f-dd84-46fa-b865-198cdfdeba87,USD,Threat Solution Configured for Startups,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
c052dd66-6834-488a-8d9c-93d9b12b5321,USD,Software & Hardware Marketing Package,This is a Package of Software & Hardware Products Recommended by Marketing and Approved by Finance.
c35692a7-3606-421c-a65c-4412dc1a2a37,USD,Rack Server and Installation,Rack Server and Installation
da80d399-e561-42b3-b320-64d69bf4947a,USD,My Favorite Config,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
ddc408b4-508e-45d3-9017-619fb044aba1,USD,Apple Config,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
e481d65d-b6ea-4a6c-a6f6-99efb42db8c9,USD,My favorite bundle,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
ecd89a82-17b2-425e-bd4a-f0d32c0a2b09,USD,Chris Quick Bundle,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
ee791d62-19ed-483f-a96b-c2ef0fb8d94e,USD,336 Products,Group1
f0c3a970-61ab-47d4-bef6-838eed0304dd,USD,Threat Solution for Enterprise Accounts,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
f38e991b-f9f7-4787-bdd3-7ebb8fb1f359,USD,90% Rack Starting Point,"Support and protect your IT equipment with rack enclosures designed for flexible deployments, usability and infrastructure scalability."
f3916ffe-2d7f-440d-86d3-ad08dce2b022,USD,Chris's Billing Bundle,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
f4c34b5f-3635-48c3-984f-7aea84febaff,USD,Usage Products,Complete Threat Platform Solution is a comprehensive package that provides advanced defenses that investigate and contain zero-day threats and sophisticated attacks across multiple avenues.
fdf2aeef-ee7f-4e51-bdb1-90946faca4d8,USD,Security Hardware Package,"The PowerSlide server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost."
